id,County,income,precipitation
48001,Anderson County,,35.6
48003,Andrews County,142.5748095,10.92
48005,Angelina County,190.9659615,32.72
48007,Aransas County,36.8618105,
48009,Archer County,19.86162202,30.92
48011,Armstrong County,262.185579,
48013,Atascosa County,201.6850352,30.72
48015,Austin County,49.93522916,33.84
48017,Bailey County,147.9032554,20.2
48019,Bandera County,349.71584,22.12
48021,Bastrop County,215.6588321,33.05
48023,Baylor County,19.86162202,19.16
48025,Bee County,129.3813678,15.32
48027,Bell County,,29.17
48029,Bexar County,348.3950243,
48031,Blanco County,,
48033,Borden County,65.21772489,
48035,Bosque County,,
48037,Bowie County,438.5691753,39.75
48039,Brazoria County,131.0486989,17.6
48041,Brazos County,50.06956876,
48043,Brewster County,155.2227732,6.83
48045,Briscoe County,188.6234642,18.35
48047,Brooks County,,24.96
48049,Brown County,189.5117259,20.37
48051,Burleson County,50.06956876,29.27
48053,Burnet County,213.4018747,
48055,Caldwell County,,
48057,Calhoun County,36.8618105,30.53
48059,Callahan County,189.5117259,22.47
48061,Cameron County,,6.1
48063,Camp County,438.5691753,12.79
48065,Carson County,,17.96
48067,Cass County,163.2359941,43.64
48069,Castro County,226.7261275,22.74
48071,Chambers County,131.0486989,43.32
48073,Cherokee County,,
48075,Childress County,19.86162202,
48077,Clay County,,30.92
48079,Cochran County,147.9032554,18.29
48081,Coke County,54.96341594,
48083,Coleman County,,25.59
48085,Collin County,489.078067,
48087,Collingsworth County,146.6698297,
48089,Colorado County,61.83205822,40.26
48091,Comal County,213.5411521,26.37
48093,Comanche County,189.5117259,26.91
48095,Concho County,280.4719462,24.27
48097,Cooke County,,
48099,Coryell County,501.9179873,
48101,Cottle County,,20.97
48103,Crane County,145.6422516,11.38
48105,Crockett County,321.5550906,
48107,Crosby County,218.6234469,
48109,Culberson County,251.0831251,
48111,Dallam County,396.2924759,9.6
48113,Dallas County,799.7793336,
48115,Dawson County,65.21772489,14.3
48117,Deaf Smith County,226.7261275,21.87
48119,Delta County,,34.31
48121,Denton County,,27.85
48123,DeWitt County,231.0595976,26.86
48125,Dickens County,,20.39
48127,Dimmit County,494.3051264,15.27
48129,Donley County,,
48131,Duval County,269.2407293,13.43
48133,Eastland County,,
48135,Ector County,145.6422516,
48137,Edwards County,,
48141,El Paso County,,
48139,Ellis County,,
48143,Erath County,189.5117259,
48145,Falls County,828.4524283,29.9
48147,Fannin County,,31.73
48149,Fayette County,38.03840009,13.98
48151,Fisher County,,21.42
48153,Floyd County,211.4384342,24.34
48155,Foard County,19.86162202,21.96
48157,Fort Bend County,229.6104045,
48159,Franklin County,,34.96
48161,Freestone County,,
48163,Frio County,413.3890947,16.01
48165,Gaines County,136.5042869,16.52
48167,Galveston County,131.0486989,
48169,Garza County,218.6234469,19.84
48171,Gillespie County,71.10683388,24.11
48173,Glasscock County,238.5540197,
48175,Goliad County,231.0595976,0.95
48177,Gonzales County,,26.01
48179,Gray County,373.8400229,14.46
48181,Grayson County,,26.72
48183,Gregg County,174.1864632,42.21
48185,Grimes County,17.05925126,
48187,Guadalupe County,,22.4
48189,Hale County,195.6076577,20.52
48191,Hall County,104.6753392,17.77
48193,Hamilton County,723.8084163,
48195,Hansford County,155.153346,13.17
48197,Hardeman County,,21.96
48199,Hardin County,185.4963234,49.97
48201,Harris County,174.12054,44.35
48203,Harrison County,163.2359941,42.56
48205,Hartley County,248.9476125,
48207,Haskell County,48.8395096,29.91
48209,Hays County,,24.2
48211,Hemphill County,,21.04
48213,Henderson County,,31.98
48215,Hidalgo County,,
48217,Hill County,,24.67
48219,Hockley County,179.7768813,21.56
48221,Hood County,299.9044628,25.62
48223,Hopkins County,438.5691753,29.05
48225,Houston County,,44.73
48227,Howard County,238.5540197,13.56
48229,Hudspeth County,142.4137386,11.6
48231,Hunt County,,27.76
48233,Hutchinson County,243.1645243,
48235,Irion County,315.6032803,15.6
48237,Jack County,,26.41
48239,Jackson County,63.97517237,33.04
48241,Jasper County,185.4963234,46.63
48243,Jeff Davis County,136.9105388,18.93
48245,Jefferson County,,
48247,Jim Hogg County,,25.31
48249,Jim Wells County,,
48251,Johnson County,,25.67
48253,Jones County,,22.27
48255,Karnes County,231.0595976,
48257,Kaufman County,,
48259,Kendall County,,23.1
48261,Kenedy County,,
48263,Kent County,,
48265,Kerr County,,17.19
48267,Kimble County,,
48269,King County,,25.72
48271,Kinney County,,20.31
48273,Kleberg County,,27.58
48275,Knox County,48.8395096,20.22
48283,La Salle County,494.3051264,15.99
48277,Lamar County,,38.52
48279,Lamb County,144.6351823,19.41
48281,Lampasas County,314.127169,
48285,Lavaca County,68.18301353,32.69
48287,Lee County,215.6588321,39.33
48289,Leon County,,41.28
48291,Liberty County,,55.46
48293,Limestone County,,
48295,Lipscomb County,278.4012253,15.59
48297,Live Oak County,131.1860825,
48299,Llano County,82.20139427,19.68
48301,Loving County,107.7487237,
48303,Lubbock County,179.7768813,
48305,Lynn County,,24.58
48313,Madison County,,46.66
48315,Marion County,,8.58
48317,Martin County,142.5748095,22.87
48319,Mason County,69.49053268,38.66
48321,Matagorda County,63.97517237,15.46
48323,Maverick County,408.6494895,20.77
48307,McCulloch County,138.8334587,
48309,McLennan County,828.4524283,
48311,McMullen County,201.6850352,19.83
48325,Medina County,332.3695592,17.84
48327,Menard County,96.82846797,
48329,Midland County,228.6625821,13.06
48331,Milam County,50.06956876,30.29
48333,Mills County,,22.8
48335,Mitchell County,,17.2
48337,Montague County,,17.82
48339,Montgomery County,110.194843,40.04
48341,Moore County,349.3326648,15.69
48343,Morris County,,37.54
48345,Motley County,121.2386913,24.38
48347,Nacogdoches County,121.2386913,41.58
48349,Navarro County,,35.37
48351,Newton County,185.4963234,
48353,Nolan County,,15.92
48355,Nueces County,,
48357,Ochiltree County,155.153346,14.8
48359,Oldham County,248.9476125,17.48
48361,Orange County,185.4963234,53.07
48363,Palo Pinto County,,
48365,Panola County,163.2359941,50.98
