,YEAR,COUNTY,TOTAL PRCP
0,2013,ANDERSON,41.88
1,2013,ANDREW,12.72
2,2013,ANGELINA,38.68
3,2013,ARCHER,24.34
4,2013,ATASCOSA,24.41
5,2013,AUSTIN,38.73
6,2013,BAILEY,15.27
7,2013,BANDERA,21.84
8,2013,BASTROP,32.69
9,2013,BAYLOR,23.15
10,2013,BEE,20.46
11,2013,BELL,32.88
12,2013,BOWIE,55.74
13,2013,BRAZORIA,38.59
14,2013,BREWSTER,11.85
15,2013,BRISCOE,15.56
16,2013,BROOKS,14.9
17,2013,BROWN,28.43
18,2013,BURLESON,28.48
19,2013,CALHOUN,39.68
20,2013,CALLAHAN,25.42
21,2013,CAMERON,18
22,2013,CAMP,28.56
23,2013,CARSON,5.26
24,2013,CASS,52.02
25,2013,CASTRO,12.53
26,2013,CHAMBERS,46.53
27,2013,CLAY,24.34
28,2013,COCHRAN,15.87
29,2013,COLEMAN,29.31
30,2013,COLORADO,35.29
31,2013,COMAL,39.96
32,2013,COMANCHE,29.73
33,2013,CONCHO,30.55
34,2013,COTTLE,15.02
35,2013,CRANE,6.44
36,2013,CROCKETT,9.77
37,2013,DALLAM,12.27
38,2013,DAWSON,16.38
39,2013,DEAF SMITH,13.42
40,2013,DELTA,40.12
41,2013,DENTON,30.69
42,2013,DEWITT,22.85
43,2013,DICKENS,16.67
44,2013,DIMMIT,29.32
45,2013,DUVAL,21.12
46,2013,FALLS,44.21
47,2013,FANNIN,39.14
48,2013,FAYETTE,26.07
49,2013,FISHER,19.78
50,2013,FLOYD,13.58
51,2013,FOARD,24.99
52,2013,FRANKLIN,47.74
53,2013,FRIO,17.17
54,2013,GAINES,11.43
55,2013,GARZA,20.99
56,2013,GILLESPIE,24.11
57,2013,GOLIAD,22.18
58,2013,GONZALES,28.3
59,2013,GRAY,20.72
60,2013,GRAYSON,36.75
61,2013,GREGG,36.83
62,2013,GRIMES,19.2
63,2013,GUADALUPE,26.1
64,2013,HALE,15.54
65,2013,HALL,24.93
66,2013,HANSFORD,16.91
67,2013,HARDEMAN,24.99
68,2013,HARDIN,55.98
69,2013,HARRIS,44.11
70,2013,HARRISON,49.6
71,2013,HASKELL,17.37
72,2013,HAYS,43.09
73,2013,HEMPHILL,23.65
74,2013,HENDERSON,49.21
75,2013,HILL,36.5
76,2013,HOCKLEY,14.05
77,2013,HOOD,32.45
78,2013,HOPKINS,37.06
79,2013,HOUSTON,39.08
80,2013,HOWARD,16.12
81,2013,HUDSPETH,8.33
82,2013,HUNT,21.65
83,2013,IRION,16.38
84,2013,JACK,25.41
