id,County,income,precipitation
48001,Anderson County,225.0895307,45.54
48003,Andrews County,143.5445935,17.33
48005,Angelina County,190.1221983,45.47
48007,Aransas County,34.94091283,
48009,Archer County,15.68654033,40.65
48011,Armstrong County,262.7726077,
48013,Atascosa County,185.084473,38.01
48015,Austin County,43.27594438,55.42
48017,Bailey County,148.7929155,25.81
48019,Bandera County,342.5139077,37.39
48021,Bastrop County,203.2031969,53.52
48023,Baylor County,15.68654033,29.98
48025,Bee County,129.4394521,20.33
48027,Bell County,244.6575822,39.61
48029,Bexar County,274.432168,
48031,Blanco County,315.1959283,
48033,Borden County,60.44140772,
48035,Bosque County,468.0693333,
48037,Bowie County,434.0778125,51.36
48039,Brazoria County,132.2847651,53.78
48041,Brazos County,43.92548263,
48043,Brewster County,146.2299038,14.65
48045,Briscoe County,189.3228645,24.62
48047,Brooks County,110,25.47
48049,Brown County,194.1377589,33.19
48051,Burleson County,43.92548263,53.98
48053,Burnet County,204.3353429,
48055,Caldwell County,38.71229878,
48057,Calhoun County,34.94091283,
48059,Callahan County,194.1377589,42.19
48061,Cameron County,42.64044757,
48063,Camp County,434.0778125,51.74
48065,Carson County,449.0686873,21.59
48067,Cass County,159.8183563,46.68
48069,Castro County,227.5188668,15.87
48071,Chambers County,132.2847651,53.04
48073,Cherokee County,225.0895307,
48075,Childress County,15.68654033,
48077,Clay County,15.68654033,40.65
48079,Cochran County,148.7929155,19.61
48081,Coke County,49.20158997,
48083,Coleman County,,34.95
48085,Collin County,495.0301598,
48087,Collingsworth County,143.2454155,
48089,Colorado County,52.72607603,54.51
48091,Comal County,202.8773415,43.73
48093,Comanche County,194.1377589,38.46
48095,Concho County,281.2346141,33.98
48097,Cooke County,238.3759963,
48099,Coryell County,503.550717,
48101,Cottle County,,28.94
48103,Crane County,143.9559249,16.34
48105,Crockett County,317.2855391,
48107,Crosby County,218.9577273,
48109,Culberson County,253.5921668,
48111,Dallam County,401.2660644,12.48
48113,Dallas County,798.6300595,
48115,Dawson County,60.44140772,22.49
48117,Deaf Smith County,227.5188668,11.96
48119,Delta County,798.6300595,45.37
48121,Denton County,244,43.44
48123,DeWitt County,234.8562399,29.56
48125,Dickens County,218.9577273,22.68
48127,Dimmit County,459.9566331,21.97
48129,Donley County,86.83675023,
48131,Duval County,245.2273731,11.13
48133,Eastland County,245.2273731,
