id,County,income,precipitation,
48001,Anderson County,226.6444374,33.29,
48003,Andrews County,143.2688629,7.23,
48005,Angelina County,190.0537655,34.68,
48007,Aransas County,32.2054557,,
48009,Archer County,14.89654431,21.84,
48011,Armstrong County,262.7851595,,
48013,Atascosa County,188.0947375,16.39,
48015,Austin County,41.39455422,21.63,
48017,Bailey County,151.5345076,15.69,
48019,Bandera County,330.6963786,20.44,
48021,Bastrop County,202.2606313,19.27,
48023,Baylor County,14.89654431,16.51,
48025,Bee County,130.538996,14.1,
48027,Bell County,246.9811752,23.43,
48029,Bexar County,278.8021501,,
48031,Blanco County,311.3122541,,
48033,Borden County,57.37622386,,
48035,Bosque County,468.2750696,,
48037,Bowie County,431.6850105,25.78,
48039,Brazoria County,132.4933544,17.16,
48041,Brazos County,44.8632566,,
48043,Brewster County,144.00076,5.22,
48045,Briscoe County,189.5680426,20.15,
48047,Brooks County,114.4360572,7.13,
48049,Brown County,194.0146976,21.02,
48051,Burleson County,44.8632566,25.88,
48053,Burnet County,205.5944418,,
48055,Caldwell County,39.18509929,,
48057,Calhoun County,32.2054557,,
48059,Callahan County,194.0146976,18.64,
48061,Cameron County,44.96180471,,
48063,Camp County,431.6850105,6.57,
48065,Carson County,449.4085246,13.36,
48067,Cass County,160.7425211,30.89,
48069,Castro County,227.3075128,24.59,
48071,Chambers County,132.4933544,28.83,
48073,Cherokee County,226.6444374,,
48075,Childress County,14.89654431,,
48077,Clay County,14.89654431,21.84,
48079,Cochran County,151.5345076,16.14,
48081,Coke County,46.56121703,,
48083,Coleman County,,16.81,
48085,Collin County,495.0301598,,
48087,Collingsworth County,142.394379,,
48089,Colorado County,48.86254966,29.47,
48091,Comal County,210.45762,8.32,
48093,Comanche County,194.0146976,22.27,
48095,Concho County,281.2196832,17.43,
48097,Cooke County,239.5209061,,
48099,Coryell County,507.0036578,29.14,
48101,Cottle County,,14.7,
48103,Crane County,143.421059,2.32,
48105,Crockett County,318.3998812,,
48107,Crosby County,217.6965592,,
48109,Culberson County,254.1177122,,
48111,Dallam County,403.3655077,4.99,
48113,Dallas County,789.8154703,,
48115,Dawson County,57.37622386,8.62,
48117,Deaf Smith County,227.3075128,9.1,
48119,Delta County,789.8154703,25.3,
48121,Denton County,,23.14,Grayson
48123,DeWitt County,211.1986658,18.61,
48125,Dickens County,217.6965592,16.85,
48127,Dimmit County,465.5175725,7.6,
48129,Donley County,86.80521278,,
48131,Duval County,244.7476491,8.91,
48133,Eastland County,244.7476491,,
48135,Ector County,143.421059,,
48137,Edwards County,,,
48141,El Paso County,104.1563042,,
48139,Ellis County,608.0703675,,
48143,Erath County,194.0146976,,
48145,Falls County,879.3704182,,
48147,Fannin County,,24.52,
48149,Fayette County,33.92655878,,
48151,Fisher County,46.37704665,5.66,
48153,Floyd County,210.9071197,19.27,
48155,Foard County,14.89654431,13.85,
48157,Fort Bend County,229.2932355,,
48159,Franklin County,431.6850105,40.34,
48161,Freestone County,226.6444374,,
48163,Frio County,409.5579817,9.6,
48165,Gaines County,137.346478,9.33,
48167,Galveston County,132.4933544,,
48169,Garza County,217.6965592,15.28,
48171,Gillespie County,60.5449067,13.73,
48173,Glasscock County,239.5209061,,
48175,Goliad County,211.1986658,,
48177,Gonzales County,39.18509929,21.83,
48179,Gray County,372.1401432,8.74,
48181,Grayson County,,38.64,
48183,Gregg County,173.7943097,34.43,
48185,Grimes County,14.69338446,,
48187,Guadalupe County,39.18509929,22.76,
48189,Hale County,195.0133618,15.62,
48191,Hall County,105.3924722,21.86,
48193,Hamilton County,725.3905014,,
48195,Hansford County,158.2348897,21.2,
48197,Hardeman County,14.89654431,13.85,
48199,Hardin County,192.0931247,41.74,
48201,Harris County,173.4581997,23.79,
48203,Harrison County,160.7425211,41.07,
48205,Hartley County,251.1385175,,
48207,Haskell County,46.37704665,11.46,
48209,Hays County,242.6888452,14.88,
48211,Hemphill County,22.47356746,17.5,
48213,Henderson County,226.6444374,22.36,
48215,Hidalgo County,28.20087576,,
48217,Hill County,468.2750696,27.62,
48219,Hockley County,179.119604,12.51,
48221,Hood County,293.8483924,22.17,
48223,Hopkins County,431.6850105,42.56,
48225,Houston County,226.6444374,36.03,
48227,Howard County,239.5209061,8.58,
48229,Hudspeth County,147.2733128,3.12,
48231,Hunt County,,20.05,grayson
48233,Hutchinson County,244.9416534,,
48235,Irion County,315.3877887,16.28,
48237,Jack County,,14.37,tarrant
48239,Jackson County,62.58583427,,
48241,Jasper County,192.0931247,42.72,
48243,Jeff Davis County,137.9717417,18.46,
48245,Jefferson County,192.0931247,,
48247,Jim Hogg County,114.4360572,11.19,
48249,Jim Wells County,114.4360572,,
48251,Johnson County,608.0703675,19.81,
48253,Jones County,46.37704665,15.96,
48255,Karnes County,211.1986658,,
48257,Kaufman County,,,
48259,Kendall County,207.7798988,10,
48261,Kenedy County,28.20087576,,
48263,Kent County,46.37704665,,
48265,Kerr County,383.8384306,12.25,
48267,Kimble County,599.3413421,,
48269,King County,,11.32,
48271,Kinney County,181.9526292,13.86,
48273,Kleberg County,247.9547,15.56,
48275,Knox County,46.37704665,15.18,
48283,La Salle County,465.5175725,8.84,
48277,Lamar County,,49.32,grayson
48279,Lamb County,147.3267898,12.85,
48281,Lampasas County,306.5814885,,
48285,Lavaca County,65.21915706,20.79,
48287,Lee County,202.2606313,23.17,
48289,Leon County,44.8632566,27.39,
