date	Precipitation	maxTemperature	minTemperature	obsTemperature
20040801	0.37	90	65	78
20040802	0	90	76	76
20040803	0	89	73	76
20040804	0	91	70	79
20040805	0	91	70	83
20040806	0.15	89	70	83
20040807	2.45	83	69	78
20040808	0	85	68	77
20040809	0	85	68	76
20040810	0	85	68	82
20040811	0.05	85	68	76
20040812	0	87	68	75
20040813	0.16	87	69	80
20040814	0	88	65	81
20040815	0	89	67	85
20040816	0	90	70	85
20040817	0	91	67	84
20040818	0	90	68	83
20040819	0	92	71	86
20040820	0	91	72	84
20040821	0	91	72	81
20040822	0	93	71	81
20040823	0	95	66	89
20040824	0	98	70	83
20040825	0	97	69	92
20040826	0.32	98	70	90
20040827	0	91	69	85
20040828	0	91	62	85
20040829	0	95	63	87
20040830	0	94	68	85
20040831	0	96	68	87
20040901	0	96	69	89
20040902	0	97	72	90
20040903	0	93	67	86
20040904	1.23	94	67	83
20040905	0.17	84	66	84
20040906	0	85	68	70
20040907	0	86	65	79
20040908	0	89	62	77
20040909	0	92	63	82
20040910	0	91	65	90
20040911	0	92	65	80
20040912	0	90	66	85
20040913	0	92	68	82
20040914	0.29	82	68	81
20040915	0	81	60	69
20040916	0	90	63	75
20040917	0	90	68	81
20040918	0	94	69	83
20040919	0	95	70	86
20040920	0	96	69	85
20040921	0.36	95	68	85
20040922	0	90	69	79
20040923	0	91	69	86
20040924	0	93	72	84
20040925	0	94	70	86
20040926	0	96	70	90
20040927	0	95	71	89
20040928	0	95	68	82
20040929	0	95	70	83
20040930	0	97	68	84
20041001	0	98	66	91
20041002	0	98	67	91
20041003	0	100	69	93
20041004	0	97	70	79
20041005	0	95	65	90
20041006	0	93	67	91
20041007	0	90	63	74
20041008	0	92	65	80
20041009	0	92	69	82
20041010	0	94	69	85
20041011	0	94	72	87
20041012	0	89	64	83
20041013	0	85	55	81
20041014	0	86	50	75
20041015	0	88	60	76
20041016	0	87	51	80
20041017	0	87	55	78
20041018	0	84	60	79
20041019	0	80	51	75
20041020	0	75	38	62
20041021	0	84	39	70
20041022	0	88	44	75
20041023	0	82	44	79
20041024	0	83	49	77
20041025	0.43	77	48	74
20041026	0.16	74	55	62
20041027	0.08	70	54	56
20041028	0	75	45	63
20041029	0	76	41	63
20041030	0	76	49	71
20041031	0	73	49	72
20041101	0	77	50	70
20041102	0	74	56	70
20041103	0	70	53	68
20041104	0	72	46	63
20041105	0	76	42	67
20041106	0	76	52	69
20041107	0	79	47	70
20041108	0	80	46	71
20041109	0	82	42	74
20041110	0	74	40	72
20041111	0	72	32	50
20041112	0	54	27	46
20041113	0	67	33	52
20041114	0	69	32	66
20041115	0	75	41	64
20041116	0	79	46	70
20041117	0	78	45	75
20041118	0	78	45	73
20041119	0	76	55	68
20041120	0.59	69	60	65
20041121	0	65	55	58
20041122	0	72	40	58
20041123	0	80	47	70
20041124	0	81	48	77
20041125	0	77	48	75
20041126	0	75	49	67
20041127	0	67	38	66
20041128	0	75	45	66
20041129	1.46	73	59	72
20041130	0	72	46	62
20041201	0	73	52	
20041202	0	82	63	
20041203	0	79	40	
20041204	0	49	39	
20041205	0.23	45	39	
20041206	0	46	40	
20041207	0	64	30	
20041208	0	73	41	
20041209	0	74	53	
20041210	0	69	35	
20041211	0	65	37	
20041212	0	66	33	
20041213	0	61	36	
20041214	0	60	31	
20041215	0	54	22	
20041216	0	62	37	
20041217	0	59	33	
20041218	0	67	32	
20041219	0	66	38	
20041220	0	70	35	
20041221	0.29	72	45	
20041222	0	70	52	
20041223	0.57	75	59	
20041224	0.97	76	62	
20041225	0	78	62	
20041226	6.05	74	64	
20041227	0	70	23	
20041228	0	41	22	
20041229	0	53	28	
20041230	0	60	40	
20041231	0	72	49	
20050101	0	71	52	70
20050102	0	70	44	68
20050103	0	68	29	54
20050104	0	66	37	54
20050105	0.15	64	39	61
20050106	0	61	31	60
20050107	0	60	29	50
20050108	0	50	32	45
20050109	0.15	63	43	45
20050110	0.39	64	44	62
20050111	0.73	70	48	63
20050112	0.18	63	29	49
20050113	0	49	25	33
20050114	0	39	20	34
20050115	0	40	20	37
20050116	0	50	24	39
20050117	0	57	32	49
20050118	0.45	63	49	57
20050119	0	63	39	60
20050120	0	68	36	57
20050121	0	67	39	64
20050122	0	65	45	59
20050123	0	59	41	44
20050124	0	53	36	52
20050125	0	52	24	33
20050126	0	44	18	43
20050127	0	44	33	43
20050128	0	55	40	54
20050129	0.39	58	43	47
20050130	0	47	39	44
20050131	0	55	42	53
20050201	0.44	53	43	39
20050202	0.05	43	32	32
20050203	0.06	33	29	30
20050204	0.08	30	21	26
20050205	0.25	32	24	32
20050206	0	33	24	33
20050207	0.66	33	29	33
20050208	0.35	53	31	52
20050209	0	58	41	56
20050210	0	56	31	51
20050211	0	52	42	52
20050212	0.1	52	15	16
20050213	0	25	9	24
20050214	0	44	11	42
20050215	0	43	23	40
20050216	0	58	27	57
20050217	0.04	58	42	43
20050218	0.16	43	36	37
20050219	1.71	40	32	37
20050220	0	44	34	43
20050221	0	60	38	58
20050222	0	69	36	68
20050223	0	73	43	71
20050224	0	74	44	70
20050225	0	70	44	58
20050226	0	70	39	65
20050227	0	74	44	63
20050228	0	74	39	65
20050301	0	79	52	72
20050302	0	84	60	76
20050303	0	83	58	76
20050304	0	78	58	74
20050305	0	79	60	73
20050306	0	75	60	69
20050307	0	70	62	65
20050308	2.2	66	50	51
20050309	0.01	53	44	51
20050310	0	61	41	58
20050311	0	61	46	60
20050312	0.49	60	48	59
20050313	0	68	43	62
20050314	0	72	49	65
20050315	0.18	66	52	59
20050316	0.05	77	54	71
20050317	0	71	59	66
20050318	1.22	72	56	69
20050319	0.06	69	57	58
20050320	0	75	51	70
20050321	0.33	70	53	65
20050322	0	78	49	74
20050323	0	78	59	71
20050324	0	76	46	66
20050325	0	80	52	75
20050326	0	75	63	71
20050327	0	82	64	76
20050328	1.01	76	51	53
20050329	0	73	45	68
20050330	0	75	48	68
20050331	0	77	56	74
20050401	0	77	64	72
20050402	0.53	75	54	69
20050403	0.14	78	62	65
20050404	0	69	50	63
20050405	0	64	43	59
20050406	0	80	43	77
20050407	0	81	57	75
20050408	0	82	60	78
20050409	0	82	61	78
20050410	0.1	81	65	77
20050411	1.6	77	54	55
20050412	0.16	70	53	67
20050413	0.03	69	55	65
20050414	0	74	60	68
20050415	0	72	53	62
20050416	0	65	42	64
20050417	0	68	45	64
20050418	0.16	72	57	62
20050419	0	76	56	70
20050420	0	80	62	75
20050421	0.08	75	54	68
20050422	0.38	76	56	62
20050423	0	76	57	75
20050424	2.75	75	56	73
20050425	0	79	58	75
20050426	0	84	55	78
20050427	0	83	67	78
20050428	0	82	67	79
20050429	1.37	79	61	67
20050430	0.57	70	63	64
20050501	0	75	55	72
20050502	0	79	63	75
20050503	0.08	82	65	73
20050504	0	84	72	79
20050505	0	82	72	78
20050506	0	84	72	80
20050507	1.81	85	68	71
20050508	1.42	82	63	77
20050509	0	84	70	79
20050510	0.01	85	71	79
20050511	0	85	74	80
20050512	0	85	72	80
20050513	0	85	69	70
20050514	1.79	78	61	62
20050515	0.97	77	60	76
20050516	0	81	57	71
20050517	0	82	58	75
20050518	0	84	64	78
20050519	0.06	87	64	78
20050520	1.55	80	65	76
20050521	0	83	69	79
20050522	1.53	85	62	80
20050523	0	86	66	78
20050524	1.53	85	66	73
20050525	0.53	82	63	72
20050526	0	85	63	78
20050527	0	87	69	82
20050528	0	85	72	82
20050529	0	86	70	80
20050530	0	87	71	78
20050531	0.13	87	68	81
20050601	0	86	69	80
20050602	0	86	66	79
20050603	0	88	69	81
20050604	0	88	69	84
20050605	0	89	67	82
20050606	0	90	70	83
20050607	0	90	70	84
20050608	0	92	72	84
20050609	0	91	72	84
20050610	0	91	68	84
20050611	0	90	70	82
20050612	0	90	67	81
20050613	0	89	72	83
20050614	0	89	70	83
20050615	0	93	71	84
20050616	0	92	71	84
20050617	0	93	71	84
20050618	0	93	72	86
20050619	0	94	72	80
20050620	0	93	72	82
20050621	1.12	84	70	72
20050622	3.72	78	68	73
20050623	0	84	69	76
